,Rank,Company,Revenues  ($ millions),Profits  ($ millions),Year
27,128,J.E. Seagram,236.3,25.7,1955
28,129,Grumman,235.3,11.2,1955
29,130,National Supply,231.7,9.3,1955
30,131,3M,230.9,24.6,1955
31,132,Honeywell,229.4,15.3,1955
32,133,Scott Paper,228.8,18.8,1955
33,134,Ashland,227.9,6.6,1955
34,135,Del Monte Foods,226.9,6.7,1955
35,136,Kaisertech,226.6,14.0,1955
36,137,Remington Rand,225.5,12.2,1955
37,138,FMC,225.3,12.1,1955
38,139,Oscar Mayer,224.4,2.8,1955
39,140,Richfield Oil,222.8,25.6,1955
40,141,Studebaker,222.3,-26.2,1955
41,142,H.J. Heinz,220.6,5.6,1955
42,143,Admiral,219.6,6.5,1955
43,144,Armstrong Holdings,217.6,11.9,1955
44,145,American Viscose,217.2,10.5,1955
45,146,USG,217.0,32.4,1955
46,147,GenCorp,217.0,4.5,1955
47,148,Anheuser-Busch,215.9,12.8,1955
48,149,"Libby, McNeill & Libby",215.4,4.2,1955
49,150,Continental Baking,212.5,5.7,1955
50,151,Kaiser Industries,212.4,-35.5,1955
51,152,Aeroquip-Vickers,212.3,24.0,1955
52,153,Skelly Oil,211.1,29.5,1955
53,154,Glidden,209.1,7.1,1955
54,155,Archer Daniels Midland,207.7,5.0,1955
55,156,Motorola,205.2,7.6,1955
56,157,Wyeth,203.1,16.2,1955
57,158,International Packers,202.5,0.4,1955
58,159,Johnson & Johnson,200.9,9.5,1955
59,160,Quantum Chemical,200.1,13.7,1955
60,161,St. Regis,200.1,14.9,1955
61,162,Electric Autolite,198.5,0.7,1955
62,163,Arden Farms,195.1,1.9,1955
63,164,Bestfoods,194.7,15.8,1955
64,165,Revere Copper & Brass,193.3,10.3,1955
65,166,Hearst Consolidated Publications,190.9,-0.3,1955
66,167,Wheeling Pittsburgh,187.6,9.6,1955
67,168,Koppers,187.6,6.1,1955
68,169,Hercules,187.5,14.1,1955
69,170,Alco Products,187.2,4.6,1955
70,171,Container Corp. of America,186.6,13.6,1955
71,172,M. Lowenstein,186.0,6.8,1955
72,173,Bell Intercontinental,185.6,6.4,1955
73,174,Continental Motors,182.1,4.5,1955
74,175,Cannon Mills,180.2,9.1,1955
75,176,Pet,178.2,8.1,1955
76,177,Kimberly-Clark,177.3,11.1,1955
77,178,Raytheon,177.1,3.5,1955
78,179,Dart Industries,176.1,3.3,1955
79,180,Wesson Oil & Snowdrift,175.5,6.7,1955
80,181,Curtis Publishing,173.4,4.5,1955
81,182,Schenley Industries,172.0,3.8,1955
82,183,Northrop Grumman,171.4,3.8,1955
83,184,Allegheny International,169.6,4.2,1955
84,185,Whirlpool,169.5,9.2,1955
85,186,Kellogg,169.5,12.7,1955
86,187,Unisys,169.1,7.8,1955
87,188,Walter Industries,167.2,2.6,1955
88,189,Eaton,165.2,8.6,1955
89,190,Westvaco,164.8,13.1,1955
90,191,Sterling Drug,164.3,13.1,1955
91,192,Mid-Continent Petroleum,164.2,13.5,1955
92,193,Rheem Manufacturing,163.6,6.0,1955
93,194,Gillette,162.2,26.1,1955
94,195,Crucible Steel,160.6,3.7,1955
95,196,Brink's,159.7,2.0,1955
96,197,Hershey Foods,159.4,7.1,1955
97,198,General American Transportation,156.2,11.4,1955
98,199,Baldwin-Lima-Hamilton,155.2,4.1,1955
99,200,Dana,153.5,12.3,1955
0,201,Central Soya,153.1,3.9,1955
1,202,Carrier,151.4,6.9,1955
2,203,Grinnell,150.9,8.0,1955
3,204,Combustion Engineering,150.5,6.6,1955
4,205,Genesco,150.1,4.8,1955
5,206,Chance Vought,149.6,6.6,1955
6,207,Newport News Shipbuilding,149.5,7.2,1955
7,208,Consolidation Coal,149.2,12.1,1955
8,209,Corning,147.9,17.5,1955
9,210,Celanese,147.6,6.6,1955
10,211,Fruehauf,146.3,4.5,1955
11,212,Merck,145.5,12.6,1955
12,213,White Motor,145.5,4.9,1955
13,214,International Cellucotton Products,145.4,7.4,1955
14,215,Pfizer,145.2,15.2,1955
15,216,Pabst Brewing,145.0,2.1,1955
16,217,Staley Continental,144.9,5.3,1955
17,218,Altria Group,142.8,11.4,1955
18,219,National Sugar Refining,140.7,2.3,1955
19,220,Cone Mills,140.7,2.6,1955
20,221,Fairchild Engine & Airplane,140.4,4.1,1955
21,222,Simmons,139.1,5.4,1955
22,223,Brown Shoe,138.9,4.8,1955
23,224,Zenith Electronics,138.6,5.7,1955
24,225,Foster Wheeler,138.6,3.6,1955
25,226,Studebaker-Worthington,138.3,6.9,1955
26,227,Owens Corning,136.5,8.4,1955
27,228,Timken,135.6,10.7,1955
28,229,Norton,135.0,N.A.,1955
29,230,American Bakeries,134.8,4.4,1955
30,231,Campbell Taggart,133.9,4.3,1955
31,232,Endicott Johnson,133.3,2.1,1955
32,233,McGraw-Edison,132.8,9.4,1955
33,234,Rohm & Haas,132.6,12.4,1955
34,235,Lorillard,131.5,6.3,1955
35,236,Ingersoll-Rand,130.3,23.0,1955
36,237,Dresser Industries,130.2,7.4,1955
37,238,Kaiser Steel,128.5,7.9,1955
38,239,Cletrac,128.3,3.7,1955
39,240,Champion Papers,128.0,9.5,1955
40,241,National Gypsum,126.6,13.1,1955
41,242,AMF,126.5,4.0,1955
42,243,Clinton Foods,125.7,3.9,1955
43,244,Sunray Oil,125.2,23.2,1955
44,245,Eastern Gas & Fuel Associates,124.6,2.8,1955
45,246,Champion International,124.1,4.7,1955
46,247,Pittsburgh Steel,124.0,2.2,1955
47,248,Tecumseh Products,124.0,5.7,1955
48,249,Kelsey-Hayes,123.8,5.5,1955
49,250,General Precision Equipment,123.3,5.5,1955
50,251,BOC,123.3,6.3,1955
51,252,McDonnell Douglas,123.1,3.6,1955
52,253,Eli Lilly,122.3,11.3,1955
53,254,General Host,122.1,2.2,1955
54,255,Stokely-Van Camp,121.7,3.0,1955
55,256,Westinghouse Air Brake,121.5,7.8,1955
56,257,American-Marietta,120.7,5.5,1955
57,258,Mack Trucks,120.3,1.3,1955
58,259,Sunshine Biscuits,119.2,6.0,1955
59,260,Marathon,117.8,7.5,1955
60,261,Keebler,117.2,1.9,1955
61,262,Gair (Robert),116.4,5.1,1955
62,263,Bemis,115.8,1.3,1955
63,264,Seeger Refrigerator,112.6,6.0,1955
64,265,Murray Corp.,112.5,5.8,1955
65,266,Warren Petroleum,112.4,8.9,1955
66,267,Mead,111.8,5.8,1955
67,268,Crown Holdings,111.4,1.4,1955
68,269,Link-Belt,111.2,5.4,1955
69,270,Scovill,111.0,4.4,1955
70,271,Cincinnati Milacron,110.5,9.3,1955
71,272,"Parke, Davis",109.9,10.5,1955
72,273,Abex,109.9,4.3,1955
73,274,Budd,109.5,9.6,1955
74,275,Anaconda Wire & Cable,108.7,4.7,1955
75,276,"Fairbanks, Morse",108.0,2.5,1955
76,277,CVS,107.9,6.0,1955
77,278,Allied Mills,106.7,3.2,1955
78,279,Bridgeport Brass,106.0,5.1,1955
79,280,Spencer Kellogg & Sons,105.7,2.6,1955
80,281,Union Camp,105.5,10.8,1955
81,282,GAF,105.0,2.5,1955
82,283,Fairmont Foods,104.6,0.8,1955
83,284,WestPoint Stevens,104.5,4.1,1955
84,285,Colorado Milling & Elevator,104.1,1.1,1955
85,286,Anchor Hocking,103.7,5.5,1955
86,287,Rohr,101.6,3.5,1955
87,288,Garrett,101.2,2.8,1955
88,289,Blaw-Knox,101.1,4.1,1955
89,290,Diamond International,100.8,5.6,1955
90,291,Schlitz Brewing,100.0,N.A.,1955
91,292,Textron,99.7,1.3,1955
92,293,Lion Oil,98.6,11.1,1955
93,294,Sharon Steel,98.2,3.1,1955
94,295,Pacific Vegetable Oil,97.9,N.A.,1955
95,296,GK Technologies,97.4,5.2,1955
96,297,Liebmann Breweries,96.0,N.A.,1955
97,298,Ward Foods,95.2,1.5,1955
98,299,St. Joseph Lead,95.0,7.5,1955
99,300,Flintkote,94.8,5.1,1955
0,301,Interstate Brands,94.2,3.2,1955
1,302,Imcera Group,93.6,6.0,1955
2,303,Maxus Energy,93.5,5.5,1955
3,304,Chemetron,93.4,5.2,1955
4,305,York International,93.3,2.9,1955
5,306,Kendall,93.2,4.2,1955
6,307,Squibb,93.0,3.4,1955
7,308,Stewart-Warner,92.9,2.8,1955
8,309,Case,92.4,-0.5,1955
9,310,Ex-Cell-O,92.3,8.8,1955
10,311,Du Mont (Allen B.) Labs.,91.9,0.9,1955
11,312,U.S. Pipe & Foundry,91.5,9.0,1955
12,313,Fibreboard,91.5,5.5,1955
13,314,Clark Equipment,91.1,5.7,1955
14,315,Plymouth Oil,90.9,6.8,1955
15,316,Collins Radio,90.3,3.4,1955
16,317,Sunbeam/Oster,90.1,6.9,1955
17,318,Inmont,89.8,3.3,1955
18,319,Amsted Industries,89.0,3.6,1955
19,320,Abbott Laboratories,88.1,8.7,1955
20,321,Yale & Towne Manufacturing,87.9,1.8,1955
21,322,Servel,87.8,-8.2,1955
22,323,Long-Bell Lumber Co.,87.7,3.7,1955
23,324,Motor Products,87.0,-1.1,1955
24,325,ITT Rayonier,86.9,11.9,1955
25,326,Best Foods,86.9,5.6,1955
26,327,Gaylord Container,86.5,7.0,1955
27,328,Virginia-Carolina Chemical,85.4,3.6,1955
28,329,Beaunit,85.3,4.5,1955
29,330,Pepperell Manufacturing,85.3,2.4,1955
30,331,Amerada Hess,85.0,19.8,1955
31,332,Texasgulf,84.6,30.5,1955
32,333,Lone Star Industries,84.4,12.6,1955
33,334,Royal McBee,84.4,2.8,1955
34,335,Eagle-Picher Industries,83.2,2.4,1955
35,336,Wm. Wrigley Jr.,82.6,11.4,1955
36,337,Stauffer Chemical,82.6,5.7,1955
37,338,Wagner Electric,82.2,1.9,1955
38,339,Marshall-Wells,81.9,1.5,1955
39,340,Dan River,81.8,2.8,1955
40,341,Keystone Consolidated Industries,81.1,5.7,1955
41,342,Maytag,81.1,6.7,1955
42,343,City Products,80.8,3.5,1955
43,344,Thomas J. Lipton,80.8,3.1,1955
44,345,Emerson Radio & Phonograph,80.6,1.9,1955
45,346,Cluett Peabody,80.4,3.0,1955
46,347,Hazel-Atlas Glass,79.2,3.6,1955
47,348,Gerber Products,78.9,3.5,1955
48,349,Great Western Sugar,78.5,4.4,1955
49,350,Tobin Packing,78.5,1.0,1955
50,351,Beech Aircraft,78.0,3.4,1955
51,352,ESB,77.7,7.8,1955
52,353,Minneapolis-Moline,77.4,N.A.,1955
53,354,Rockwell Manufacturing,76.5,5.7,1955
54,355,Ruberoid,76.4,4.6,1955
55,356,Paccar,76.4,2.4,1955
56,357,Butler Manufacturing,76.2,3.3,1955
57,358,Superior Oil,76.1,10.4,1955
58,359,Olivetti Underwood,76.0,1.2,1955
59,360,Certainteed,75.8,5.3,1955
60,361,National Container,75.6,3.5,1955
61,362,Lukens Steel,75.0,2.0,1955
62,363,American Bosch Arma,74.4,2.6,1955
63,364,PepsiCo,74.2,6.2,1955
64,365,Stanley Works,73.8,3.9,1955
65,366,New York Shipbuilding,73.8,2.4,1955
66,367,Glen Alden,73.5,0.2,1955
67,368,Outboard Marine,73.4,5.5,1955
68,369,Hines (Edward) Lumber,73.3,3.7,1955
69,370,Shoe Corp. of America,73.2,2.3,1955
70,371,Standard Coil Products,72.9,2.9,1955
71,372,Norris-Thermador,72.6,2.9,1955
72,373,American Chain & Cable,72.2,3.5,1955
73,374,Carborundum,71.9,3.3,1955
74,375,Interlake,71.8,3.7,1955
75,376,Riegel Textile,71.0,1.3,1955
76,377,Todd Shipyards,70.4,0.3,1955
77,378,Cleveland-Cliffs,70.4,7.1,1955
78,379,Minnesota & Ontario Paper,70.1,6.1,1955
79,380,McGraw-Hill,70.0,5.9,1955
80,381,Pocahontas Fuel,69.5,1.7,1955
81,382,Granite City Steel,69.3,4.0,1955
82,383,Remington Arms,69.0,7.5,1955
83,384,Bigelow-Sanford,68.2,0.1,1955
84,385,H.K. Porter,68.1,3.2,1955
85,386,Bliss (E.W.),68.0,3.3,1955
86,387,Falstaff Brewing,67.8,3.0,1955
87,388,I-T-E Imperial,67.7,1.6,1955
88,389,Canada Dry,67.4,2.4,1955
89,390,American Optical,67.3,2.2,1955
90,391,American Agricultural Chemical,67.2,4.6,1955
91,392,Brown Co.,67.0,3.4,1955
92,393,Raybestos-Manhattan,66.8,2.8,1955
93,394,Norton Simon,66.7,1.6,1955
94,395,Hartmarx,66.6,1.2,1955
95,396,Savannah Sugar Refining,66.6,1.6,1955
96,397,Bucyrus-Erie,66.0,4.5,1955
97,398,Industrial Rayon,65.9,7.4,1955
98,399,Handy & Harman,65.8,0.6,1955
99,400,AM International,65.4,4.9,1955
0,401,Richardson-Vicks,65.4,5.9,1955
1,402,US Pharmaceuticals,65.4,9.3,1955
2,403,Interlake Iron,65.2,3.1,1955
3,404,Solar Aircraft,65.1,2.0,1955
4,405,Tennessee Corp.,64.9,6.5,1955
5,406,Crowell-Collier Publishing,64.8,-2.4,1955
6,407,"American Zinc, Lead & Smelting",64.5,1.8,1955
7,408,Georgia-Pacific,64.3,1.8,1955
8,409,International Silver,64.1,3.2,1955
9,410,Niles-Bement-Pond,63.6,4.3,1955
10,411,Stromberg-Carlson,63.5,2.0,1955
11,412,Houdaille Industries,63.1,1.2,1955
12,413,Magnavox,63.0,2.1,1955
13,414,Joy Technologies,62.8,3.6,1955
14,415,Joslyn Manufacturing & Supply,62.7,2.3,1955
15,416,Kroehler Manufacturing,62.7,2.3,1955
16,417,Joy Global,62.5,2.6,1955
17,418,Daystrom,62.5,1.5,1955
18,419,Bristol-Myers Squibb,62.4,3.6,1955
19,420,Celotex,62.3,3.2,1955
20,421,Lees (James) & Sons,62.2,2.8,1955
21,422,Calumet & Hecia,61.4,2.2,1955
22,423,Burrus Mills,61.0,1.2,1955
23,424,Bibb Manufacturing,60.8,1.1,1955
24,425,U.S. Industries,60.6,1.6,1955
25,426,Cuban Atlantic Sugar,60.5,2.7,1955
26,427,Dole,60.1,1.9,1955
27,428,Elgin National Watch,60.1,1.6,1955
28,429,Lehigh Portland Cement,59.7,8.0,1955
29,430,American Enka,59.7,5.0,1955
30,431,Ekco Products,59.7,4.6,1955
31,432,LTV,59.2,2.9,1955
32,433,Clevite,59.2,2.7,1955
33,434,Cummins,59.2,2.9,1955
34,435,Ideal Basic Industries,59.0,11.1,1955
35,436,Robertshaw Controls,58.2,3.7,1955
36,437,American Forest Products,58.2,1.6,1955
37,438,Pennwalt Corp,58.1,3.4,1955
38,439,United Engineering & Foundry,58.1,3.4,1955
39,440,Atlas Powder,57.6,2.6,1955
40,441,Harbison-Walker Refractories,57.5,4.5,1955
41,442,Lily-Tulip Cup,57.4,4.7,1955
42,443,Freeport Sulphur,57.3,10.1,1955
43,444,Gould-National Batteries,57.2,2.7,1955
44,445,Mohasco,57.0,0.8,1955
45,446,Times Mirror,56.7,1.9,1955
46,447,National Automotive Fibers,56.7,-0.5,1955
47,448,Stanley Home Products,56.6,3.1,1955
48,449,Continental Foundry & Machine,56.6,3.5,1955
49,450,Dayco,55.9,1.2,1955
50,451,Square D,55.9,4.7,1955
51,452,Publicker Industries,55.5,2.3,1955
52,453,Armstrong Rubber,55.4,1.7,1955
53,454,Godchaux Sugars,55.3,0.5,1955
54,455,Avon Products,55.1,4.9,1955
55,456,Carey (Philip) Manufacturing,54.8,2.5,1955
56,457,Anderson-Prichard Oil,54.7,3.3,1955
57,458,Midland-Ross,54.6,2.7,1955
58,459,P.R. Mallory,54.6,1.1,1955
59,460,Consolidated Papers,54.4,4.5,1955
60,461,Oxford Paper,54.2,3.4,1955
61,462,Lear,54.2,2.2,1955
62,463,Cutler-Hammer,54.2,4.1,1955
63,464,Sutherland Paper,54.0,3.9,1955
64,465,Gilfillan Bros.,54.0,N.A.,1955
65,466,USM,53.9,8.0,1955
66,467,Bates Manufacturing,53.9,1.8,1955
67,468,Motor Wheel,53.9,1.7,1955
68,469,Reeves Brothers,53.9,1.1,1955
69,470,Congoleum,53.8,1.7,1955
70,471,Harshaw Chemical,53.6,1.6,1955
71,472,Young (L.A.) Spring & Wire,53.5,1.3,1955
72,473,Barium Steel,53.5,-0.4,1955
73,474,Arvin Industries,53.4,2.2,1955
74,475,Climax Molybdenum,53.2,15.6,1955
75,476,Erwin Mills,53.1,-0.9,1955
76,477,S & W Fine Foods,53.1,0.5,1955
77,478,Columbian Carbon,52.9,4.6,1955
78,479,South Penn Oil,52.6,5.1,1955
79,480,National Homes,52.5,2.4,1955
80,481,Crown Central,52.4,1.4,1955
81,482,Udylite,51.9,0.8,1955
82,483,Bird & Son,51.7,1.6,1955
83,484,Detroit Steel,51.7,1.2,1955
84,485,Mullins Manufacturing,51.7,2.3,1955
85,486,Commercial Solvents,51.6,2.7,1955
86,487,Fuller Brush,51.5,2.3,1955
87,488,Liquid Carbonic,51.4,2.8,1955
88,489,Consolidated Cigar,51.0,1.8,1955
89,490,Langendorf United Bakeries,50.7,0.9,1955
90,491,Truax-Traer Coal,50.5,2.5,1955
91,492,Mansfield Tire & Rubber,50.4,0.9,1955
92,493,Blue Bell,50.3,1.7,1955
93,494,Warner-Lambert,50.3,4.3,1955
94,495,Trane,50.2,3.4,1955
95,496,Signal Oil Gas,50.2,9.3,1955
96,497,Bullard,50.2,4.8,1955
97,498,Cuban-American Sugar,50.1,0.7,1955
98,499,Goodall-Sanford,49.7,-2.7,1955
99,500,Copperweld Steel,49.7,0.9,1955
0,1,General Motors,12443.3,1189.5,1956
1,2,Exxon Mobil,6272.4,709.3,1956
2,3,Ford Motor,5594.0,437.0,1956
3,4,U.S. Steel,4097.7,370.1,1956
4,5,Chrysler,3466.2,100.1,1956
5,6,General Electric,3095.4,200.9,1956
6,7,Esmark,2404.1,22.9,1956
7,8,Bethlehem Steel,2096.6,180.2,1956
8,9,Armour,1967.7,10.1,1956
9,10,DuPont,1909.2,431.6,1956
10,11,Gulf Oil,1895.7,218.1,1956
11,12,AT&T Technologies,1853.3,63.3,1956
12,13,Mobil,1839.3,207.4,1956
13,14,Amoco,1781.3,157.1,1956
14,15,Texaco,1767.3,262.7,1956
15,16,Shell Oil,1484.1,125.5,1956
16,17,CBS,1441.0,42.8,1956
17,18,Goodyear Tire & Rubber,1372.2,59.7,1956
18,19,ChevronTexaco,1277.8,231.1,1956
19,20,Kraft,1260.2,40.3,1956
20,21,Republic Steel,1188.6,86.3,1956
21,22,Union Carbide,1187.2,140.8,1956
22,23,Navistar International,1165.8,55.5,1956
23,24,Firestone Tire & Rubber,1114.9,55.4,1956
24,25,Sinclair Oil,1110.1,80.7,1956
25,26,RCA,1055.3,47.5,1956
26,27,Procter & Gamble,965.8,57.5,1956
27,28,Uniroyal,925.5,33.6,1956
28,29,Citgo Petroleum,923.2,49.3,1956
29,30,ConocoPhillips,910.8,95.2,1956
30,31,Douglas Aircraft,867.5,28.2,1956
31,32,Boeing,853.8,30.4,1956
32,33,Alcoa,845.0,87.6,1956
33,34,General Foods,824.8,31.7,1956
34,35,Rockwell Automation,816.7,32.3,1956
35,36,Borden Chemical,810.1,21.7,1956
36,37,International Paper,796.4,83.1,1956
37,38,Goodrich,755.0,46.7,1956
38,39,American Can,714.8,36.0,1956
39,40,Eastman Kodak,714.4,85.6,1956
40,41,United Technologies,697.9,31.1,1956
41,42,Jones & Laughlin Steel,696.5,50.1,1956
42,43,ARMCO,692.7,64.4,1956
43,44,Sperry,688.0,44.0,1956
44,45,General Dynamics,687.3,21.3,1956
45,46,Lockheed Martin,673.6,17.3,1956
46,47,Continental Group,666.3,24.2,1956
47,48,Sunoco,660.3,48.3,1956
48,49,AMAX,660.2,19.8,1956
49,50,Ryerson Tull,659.7,52.5,1956
50,51,Wilson,650.5,4.6,1956
51,52,Anaconda,636.2,65.3,1956
52,53,Honeywell Intl.,628.5,52.1,1956
53,54,National Intergroup,622.0,48.3,1956
54,55,Youngstown Sheet & Tube,617.4,41.7,1956
55,56,Fortune Brands,585.9,51.7,1956
56,57,PPG Industries,582.0,61.4,1956
57,58,Bendix,567.2,25.9,1956
58,59,Intl. Business Machines,563.5,55.9,1956
59,60,Olin,560.5,44.6,1956
60,61,BorgWarner,552.2,41.1,1956
61,62,Kennecott,548.3,125.5,1956
62,63,Republic Aviation,547.4,14.7,1956
63,64,Asarco,540.5,33.5,1956
64,65,Allis-Chalmers,535.1,24.8,1956
65,66,NL Industries,533.7,47.9,1956
66,67,Conoco,528.9,46.4,1956
67,68,Caterpillar,523.9,34.8,1956
68,69,Monsanto,522.3,42.2,1956
69,70,Burlington Industries Equity,515.2,16.4,1956
70,71,General Mills,513.7,12.4,1956
71,72,Atlantic Richfield,513.0,39.5,1956
72,73,Curtiss-Wright,508.7,35.1,1956
73,74,Pure Oil,485.1,35.2,1956
74,75,Studebaker,480.0,-29.7,1956
75,76,Tidewater Oil,478.8,37.8,1956
76,77,Dow Chemical,470.7,37.4,1956
77,78,Nabisco Group Holdings,466.3,53.3,1956
78,79,American Cyanamid,451.1,38.7,1956
79,80,ITT Industries,448.4,23.1,1956
80,81,American Motors,441.1,-7.0,1956
81,82,Sealed Air,427.1,18.8,1956
82,83,Crown Zellerbach,414.1,44.1,1956
83,84,Standard Brands,400.7,10.6,1956
84,85,Nabisco Brands,389.6,18.3,1956
85,86,Foremost Dairies,388.1,8.7,1956
86,87,Ralston Purina,385.5,12.6,1956
87,88,Reynolds Metals,384.9,34.3,1956
88,89,Campbell Soup,377.6,29.1,1956
89,90,Philco,373.4,8.4,1956
90,91,Owens-Illinois,370.3,27.0,1956
91,92,Merritt-Chapman & Scott,360.3,10.7,1956
92,93,Unocal,359.5,30.5,1956
93,94,Singer,354.1,18.1,1956
94,95,Phelps Dodge,353.4,72.3,1956
95,96,United Merchants & Mfrs.,341.8,15.5,1956
96,97,Pillsbury,341.1,5.3,1956
97,98,BP America,339.7,23.0,1956
98,99,American Standard,339.6,22.6,1956
99,100,Deere,339.6,28.3,1956
0,101,Hormel Foods,336.6,3.8,1956
1,102,Morrell (John),336.1,2.7,1956
2,103,Hygrade Food Products,334.3,2.3,1956
3,104,Crane,331.4,9.0,1956
